experience_level,company_location,company_size,salary_in_usd
MI,DE,L,80982.4
MI,DE,S,42417.5
MI,DE,M,87932.0
MI,JP,L,
MI,JP,S,71691.66666666667
MI,JP,M,
MI,GB,L,82050.16666666667
MI,GB,S,71490.0
MI,GB,M,80905.72727272728
MI,HN,L,
MI,HN,S,20000.0
MI,HN,M,
MI,US,L,133134.88372093023
MI,US,S,69298.33333333333
MI,US,M,130835.1052631579
MI,HU,L,35735.0
MI,HU,S,
MI,HU,M,
MI,NZ,L,
MI,NZ,S,
MI,NZ,M,
MI,FR,L,58449.0
MI,FR,S,49467.5
MI,FR,M,65398.0
MI,IN,L,24077.6
MI,IN,S,13185.0
MI,IN,M,19219.666666666668
MI,PK,L,8000.0
MI,PK,S,
MI,PK,M,12000.0
MI,CN,L,
MI,CN,S,
MI,CN,M,43331.0
MI,GR,L,
MI,GR,S,20000.0
MI,GR,M,56369.444444444445
MI,AE,L,115000.0
MI,AE,S,
MI,AE,M,
MI,NL,L,57566.0
MI,NL,S,
MI,NL,M,
MI,MX,L,
MI,MX,S,2859.0
MI,MX,M,
MI,CA,L,97091.5
MI,CA,S,75000.0
MI,CA,M,74387.4
MI,AT,L,69489.5
MI,AT,S,
MI,AT,M,61467.0
MI,NG,L,50000.0
MI,NG,S,
MI,NG,M,
MI,ES,L,37825.0
MI,ES,S,47282.0
MI,ES,M,55350.875
MI,PT,L,58255.0
MI,PT,S,
MI,PT,M,50180.0
MI,DK,L,
MI,DK,S,
MI,DK,M,
MI,IT,L,51064.0
MI,IT,S,
MI,IT,M,
MI,HR,L,
MI,HR,S,
MI,HR,M,
MI,LU,L,
MI,LU,S,62726.0
MI,LU,M,
MI,PL,L,36887.666666666664
MI,PL,S,
MI,PL,M,
MI,SG,L,89294.0
MI,SG,S,
MI,SG,M,
MI,RO,L,
MI,RO,S,
MI,RO,M,60000.0
MI,IQ,L,
MI,IQ,S,
MI,IQ,M,
MI,BR,L,
MI,BR,S,12901.0
MI,BR,M,
MI,BE,L,
MI,BE,S,
MI,BE,M,88654.0
MI,UA,L,
MI,UA,S,
MI,UA,M,
MI,IL,L,
MI,IL,S,
MI,IL,M,119059.0
MI,RU,L,
MI,RU,S,
MI,RU,M,
MI,MT,L,28369.0
MI,MT,S,
MI,MT,M,
MI,CL,L,40038.0
MI,CL,S,
MI,CL,M,
MI,IR,L,
MI,IR,S,
MI,IR,M,4000.0
MI,CO,L,
MI,CO,S,
MI,CO,M,
MI,MD,L,
MI,MD,S,18000.0
MI,MD,M,
MI,KE,L,
MI,KE,S,
MI,KE,M,
MI,SI,L,24823.0
MI,SI,S,
MI,SI,M,
MI,CH,L,122346.0
MI,CH,S,
MI,CH,M,
MI,VN,L,
MI,VN,S,
MI,VN,M,
MI,AS,L,
MI,AS,S,
MI,AS,M,
MI,TR,L,
MI,TR,S,
MI,TR,M,20059.5
MI,CZ,L,69999.0
MI,CZ,S,
MI,CZ,M,
MI,DZ,L,
MI,DZ,S,
MI,DZ,M,
MI,EE,L,
MI,EE,S,32974.0
MI,EE,M,
MI,MY,L,
MI,MY,S,
MI,MY,M,
MI,AU,L,87425.0
MI,AU,S,
MI,AU,M,
MI,IE,L,
MI,IE,S,
